Name,Publisher/Promoter,Size,Format,Source and Context,Type of Speech,Regional Varieties,Sociolinguistic Variations,Multilingual Corpus,Data Collection,Recording Methods,Participant Selection,Transcription Standard,Annotation Levels,Tools and Software Used,Quality Control and Validation,Availability,URL,References,Other
"Italian Speech Data by Mobile Phone - 1,441 Hours",ELRA,"1,441 hours of speech data",Audio recordings in WAV format,Collected via mobile phones from native Italian speakers,"Read speech covering various categories such as general purpose, interactive, in-car commands, and home commands",Authentic Italian accents,"3,109 native Italian speakers with authentic Italian accents","No, specific to Italian",Recorded using mobile phones in diverse environments,Not specified,Native Italian speakers with authentic accents,Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0450/,,"The dataset includes recordings covering a wide range of categories such as general purpose, interactive, in-car commands, home commands, etc."
Italian Speech Data by Mobile Phone_Reading - 215 Hours,ELRA,215 hours of speech data,Audio recordings in WAV format,Collected from 325 native Italian speakers in a quiet environment,"Read speech covering multiple categories such as economics, entertainment, news, and oral",Standard Italian,325 native Italian speakers,"No, specific to Italian",Recorded using mobile phones in a quiet environment,Not specified,Native Italian speakers,Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0472/,,"The dataset includes recordings covering multiple categories such as economics, entertainment, news, and oral."
Italian Speech Data Collected by Mobile Phone - 347 Hours,ELRA,347 hours of speech data,Audio recordings in WAV format,Collected from 800 native Italian speakers in a quiet environment,Read speech,Standard Italian,"800 native Italian speakers, balanced in gender","No, specific to Italian",Recorded using mobile phones in a quiet environment,Not specified,"Native Italian speakers, balanced in gender",Manual transcription with high accuracy,Not specified,Not specified,Manual transcription with high accuracy,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0461/,,"The dataset includes recordings collected by mobile phone in a quiet environment, with all texts manually transcribed with high accuracy."
Italian SpeechDat-Car database,ELRA,"Recordings from 300 speakers, distributed across 14 DVDs","Audio files in two formats: 16 kHz, 16-bit uncompressed for four microphones; 8 kHz, 8-bit A-law for the fifth microphone",Speech recorded over the GSM telephone network in a car environment,"Read and spontaneous speech, including digits, dates, phonetically rich sentences, and application-specific words",Standard Italian,"300 speakers: 149 females and 151 males; age distribution: 134 speakers aged 16-30, 117 aged 31-45, 46 aged 46-60, and 3 over 60","No, specific to Italian","Recorded using five microphones: four connected to a computer in the car's boot, and one connected to a cell phone","Four microphones recorded at 16 kHz, 16-bit uncompressed; the fifth microphone recorded at 8 kHz, 8-bit A-law",Native Italian speakers across various age groups,Each signal file is accompanied by an ASCII SAM label file containing descriptive information,Not specified,Not specified,Validated by SPEX (the Netherlands) for compliance with SpeechDat-Car format and content specifications,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0144/,,Includes a pronunciation lexicon with phonemic transcription in SAMPA
Italian Speech Recognition Corpus (Desktop),ELRA,Approximately 24.21 hours of speech per channel,"Audio recordings in 16-bit, 48 kHz WAV format",Recorded in a quiet office environment over two channels,Read speech,Standard Italian,50 speakers: 23 males and 27 females,"No, specific to Italian",Controlled environment recordings to ensure high audio quality,Utilized high-quality microphones in a quiet office setting,"Native Italian speakers, balanced by gender",Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0228_80/,,Designed to support the development and evaluation of speech recognition systems for Italian
Italian Speech Recognition Corpus (Desktop+Mobile),ELRA,Approximately 24.21 hours of speech per channel,"Audio recordings in 16-bit, 48 kHz WAV format",Recorded in a quiet office environment over two channels,Read speech,Standard Italian,50 speakers: 23 males and 27 females,"No, specific to Italian",Controlled environment recordings to ensure high audio quality,Utilized high-quality microphones in a quiet office setting,"Native Italian speakers, balanced by gender",Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0228_121/,,Designed to support the development and evaluation of speech recognition systems for Italian
Italian Speech Recognition Corpus (Desktop+Mobile),ELRA,Approximately 24.21 hours of speech per channel,"Audio recordings in 16-bit, 48 kHz WAV format",Recorded in a quiet office environment over two channels,Read speech,Standard Italian,50 speakers: 23 males and 27 females,"No, specific to Italian",Controlled environment recordings to ensure high audio quality,Utilized high-quality microphones in a quiet office setting,"Native Italian speakers, balanced by gender",Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0228_121/,,Designed to support the development and evaluation of speech recognition systems for Italian
Italian Speecon database,ELRA,"Recordings from 600 speakers, distributed across 26 DVDs","Audio files recorded at 16 kHz, 16-bit, uncompressed unsigned integers in Intel format (lo-hi byte order)","Speech recorded over four microphone channels in various environments: office, entertainment, car, public place, and children's room","Read and spontaneous speech, including phonetically rich sentences, isolated digits, connected digit sequences, and application-specific words and phrases",Standard Italian,"600 speakers: 550 adults (273 males, 277 females) and 50 children (28 boys, 22 girls); age distribution for adults: 243 speakers aged 15-30, 209 aged 31-45, and 98 over 46; for children: 22 aged 8-10 and 28 aged 11-15","No, specific to Italian",Recorded using four microphone channels in controlled environments,"Each of the four speech channels is recorded at 16 kHz, 16-bit, uncompressed unsigned integers in Intel format (lo-hi byte order)",Native Italian speakers across various age groups,Each signal file is accompanied by an ASCII SAM label file containing descriptive information,Not specified,Not specified,Validated by SPEX (the Netherlands) for compliance with Speecon format and content specifications,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0213/,,Includes a pronunciation lexicon with phonemic transcription in SAMPA
Italian TTS Speech Corpus (Appen),ELRA,"Approximately 3,300 prompted sentences","16-bit, 22.05 kHz PCM uncompressed WAV files",Recorded in a studio environment using a Shure SM15 unidirectional professional head-worn condenser microphone,Read speech covering all legal triphones and diphones,Standard Italian,"Single male speaker, 50 years old","No, specific to Italian",Conducted by Appen (Australia) in a controlled studio setting,Single-channel recording with high-quality equipment,Native Italian speaker with clear pronunciation,"Orthographic transcriptions in SAMPA, including canonical and alternative pronunciations, syllable, stress, and acoustic event markings","Segmented at the utterance level, annotated at the word level, and manually verified",Not specified,Manual verification of transcriptions and annotations,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0148/,,"Includes a pronunciation lexicon with 7,300 headwords (plus variants); suitable for text-to-speech and speech synthesis applications"
LC-STAR English-Italian Bilingual Aligned Phrasal Lexicon,ELRA,"10,466 phrases",XML format,"Developed within the LC-STAR project (IST 2001-32216), sponsored by the European Commission",Phrases from the tourist domain,Standard Italian,Not specified,"Yes, bilingual (English and Italian)","Based on a list of short sentences obtained by translation from a 10,449 US-English phrase corpus",Not applicable,Not applicable,Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0271/,,Designed for Speech-to-Speech Translation (SST) applications
LC-STAR Italian Phonetic Lexicon,ELRA,"109,712 entries",XML format with phonetic transcriptions in SAMPA,"Developed within the LC-STAR project (IST 2001-32216), sponsored by the European Commission","Lexical entries including common words, proper names, and special application words",Standard Italian,Not specified,"No, specific to Italian","Compiled from a corpus of over 10 million words across six domains: sports/games, news, finance, culture/entertainment, consumer information, and personal communications",Not applicable,Not applicable,Phonetic transcriptions in SAMPA,Phonetic transcription,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0270/,,"Includes 56,420 common word entries, 45,253 proper names, and 8,039 special application words"
MULTEXT Prosodic Database,ELRA,Approximately 4 hours and 20 minutes of speech data,Audio recordings accompanied by various annotation files,"Derived from the EUROM.1 speech corpus, consisting of passages of about five sentences each",Read speech,"Standard Italian, French, English, German, and Spanish",50 speakers: 5 male and 5 female per language,"Yes, includes French, English, Italian, German, and Spanish",Passages extracted from the EUROM.1 speech corpus,Not specified,"Native speakers of each language, balanced by gender",Orthographic transcription aligned to the signal at the word level,"Fundamental frequency (F0) files, stylisation files, symbolic coding of pitch movements, residual F0, and description files for each recording",Automatic stylisation algorithm for intonation contour representation,Entire corpus verified and manually corrected by experts for each language,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0060/,,"Includes re-synthesis using the stylised F0 and a symbolic coding of approximately 50,000 pitch movements"
PortMedia French and Italian Corpus,ELRA,"1,304 transcribed dialogues (700 in French, 604 in Italian)","Stereo WAV files at 8 kHz, 16-bit; manual transcriptions in HTML format; TRS label files; semantic annotations",Simulated man-machine dialogues in the domain of touristic information and reservation,Spontaneous dialogues,Standard French and Italian,"Approximately 140 French speakers and 150 Italian speakers, with multiple dialogues per speaker","Yes, includes both French and Italian",Wizard of Oz (WoZ) method simulating natural language dialogues,"Stereo recordings at 8 kHz, 16-bit quantization",Native speakers of French and Italian,Manual transcriptions in HTML; label files created with Transcriber (TRS files),Manual semantic annotations produced with Semantizer,Transcriber for label files; Semantizer for semantic annotations,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0371/,,Scenarios include ticket reservations for the 2010 Festival d’Avignon (French) and hotel reservations (Italian)
SPK,ELRA,"20,000 speech waveform files","NIST-SPHERE format, 16-bit, 16 kHz",Recorded in a quiet room environment,Isolated and connected digits,Standard Italian,"100 speakers: 30 females and 70 males, aged 23 to 50, primarily from the North-East of Italy","No, specific to Italian",Five recording sessions per speaker on different days; each session includes four repetitions of the ten Italian digits,Digital Audio Tape-Recorder Sony TCD-D10PRO and super-cardioid microphone Sennheiser MKH 416-T; original recordings at 48 kHz downsampled to 16 kHz,Native Italian speakers from the North-East region,Not specified,Not specified,"SPHERE library, version 2.6a, for storing waveform files",Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0049/,,Designed for speaker recognition and verification purposes
SIVA Speech Database for Speaker Verification and Identification,ELRA,"Over 2,000 calls",Not specified,Collected over the public switched telephone network,Telephone speech,Italian,Not specified,"No, specific to Italian",Recorded over the public switched telephone network,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,"Available for research and development through ELRA, under payment.",https://catalogue.elra.info/en-us/repository/browse/ELRA-S0028/,,Designed for speaker verification and identification applications
VoxForge,VoxForge,"Varies by language; for Italian, the dataset includes numerous user-submitted audio clips",Audio recordings in WAV format; transcriptions in text files,User-submitted recordings collected via the VoxForge website,"Read speech, including phonetically rich sentences and common phrases","Includes various accents and dialects within each language, including Italian","Contributions from speakers of different ages, genders, and regions","Yes, includes multiple languages such as English, Spanish, French, German, Russian, and Italian",Voluntary contributions from users reading predefined texts,Users record speech using personal devices; quality varies based on user equipment,Open to all users willing to contribute; no specific selection criteria,Orthographic transcriptions provided by contributors,Basic annotations including speaker information and recording conditions,Submissions managed through the VoxForge website; no specific tools required for contributors,Community-driven validation; users can review and correct transcriptions,Freely available under the GPL license,https://www.voxforge.org/home,,Aims to provide open-source acoustic models for speech recognition engines; Italian segment includes a variety of regional accents and dialects
Multilingual TEDx (mTEDx) Corpus,OpenSLR,"Varies by language; for Italian, approximately 19 GB of data",Audio recordings in FLAC format; transcripts in plain text,Derived from TEDx talks across multiple languages,Spontaneous monologues,Standard Italian,"Speakers from diverse backgrounds, covering various topics","Yes, includes 8 languages: Spanish, French, Portuguese, Italian, Russian, Greek, Arabic, and German",Collected from publicly available TEDx talks; audio aligned with transcripts and translations,High-quality recordings from TEDx events,Public speakers at TEDx events,Manual transcriptions aligned at the sentence level,Sentence-level alignments; translations available for certain language pairs,Alignment tools for synchronizing audio with transcripts,Manual verification of alignments and transcriptions,Available under the Creative Commons Attribution-NonCommercial-NoDerivs 4.0 (CC BY-NC-ND 4.0) license,https://www.openslr.org/100/,"{Authors=Elizabeth Salesky, Matthew Wiesner, Jacob Bremerman, Roldano Cattoni, Matteo Negri, Marco Turchi, Douglas W. Oard, Matt Post, Year=2021.0, URL=https://arxiv.org/abs/2102.01757, Title=The Multilingual TEDx Corpus for Speech Recognition and Translation}","The Italian segment includes audio and transcripts from TEDx talks in Italian, with aligned English translations available."
Italian (Italy) General Conversation Speech Dataset,FutureBeeAI,50 hours of audio recordings,WAV format; stereo channels; 16-bit depth; 8 kHz sample rate,"Spontaneous, unscripted conversations between native Italian speakers from various regions of Italy",Unscripted general conversations,Includes accents and dialects from different regions of Italy,"70 native Italian speakers; balanced representation of age, gender, and regional demographics","No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; 8 kHz sample rate,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Regular updates with new audio data from diverse real-world conditions; option for custom datasets with specific environmental conditions,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/general-conversation-italian-italy,,"Designed to advance Italian language speech recognition models; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for Delivery & Logistics,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Unscripted and spontaneous conversations between call center agents and customers in the Delivery & Logistics domain,Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/delivery-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the Delivery & Logistics domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for Retail & E-commerce,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Unscripted and spontaneous conversations between call center agents and customers in the Retail & E-commerce domain,Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/retail-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the Retail & E-commerce domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for BFSI,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,"Unscripted and spontaneous conversations between call center agents and customers in the Banking, Financial Services, and Insurance (BFSI) domain",Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/bfsi-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the BFSI domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for Healthcare,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Unscripted and spontaneous conversations between call center agents and customers in the Healthcare domain,Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/healthcare-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the Healthcare domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for Real Estate,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Unscripted and spontaneous conversations between call center agents and customers in the Real Estate domain,Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/realestate-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the Real Estate domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for Telecom,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Unscripted and spontaneous conversations between call center agents and customers in the Telecom domain,Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/telecom-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the Telecom domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Call Center Speech Dataset for Travel,FutureBeeAI,30 hours of audio recordings,WAV format; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Unscripted and spontaneous conversations between call center agents and customers in the Travel domain,Unscripted call center conversations,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Conversations recorded in quiet environments without background noise or echo,High-quality recording equipment; stereo channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Manual verbatim transcriptions; JSON format; speaker-wise segmentation with time-coded annotations; includes non-speech labels and tags,Speaker-wise segmentation; time-coded annotations; non-speech elements labeled,Not specified,Dual layer of quality assurance ensuring word error rate is less than 5%,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/speech-dataset/travel-call-center-conversation-italian-italy,,"Designed to advance Italian language speech recognition models in the Travel domain; supports development of natural language processing, conversational AI, and generative voice AI algorithms; facilitates creation of voice assistants and bots tailored to Italian linguistic nuances"
Italian (Italy) Scripted Monologue Speech Dataset for BFSI Domain,FutureBeeAI,"Over 6,000 high-quality scripted prompt recordings",WAV format; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,"Scripted prompts covering various topics and scenarios relevant to the Banking, Financial Services, and Insurance (BFSI) domain",Scripted monologue speech,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Recordings conducted in quiet environments without background noise or echo,High-quality recording equipment; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Verbatim transcriptions provided in plain text (.TXT) format; files named to match their associated audio files for easy reference,Transcriptions verified for accuracy and consistency by native Italian transcribers,Not specified,Meticulously curated to ensure high-quality data; transcriptions verified for accuracy and consistency,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/monologue-speech-dataset/bfsi-scripted-speech-monologues-italian-italy,,"Designed to advance the development of Italian language speech recognition models in the BFSI domain; supports applications in speech recognition, natural language processing, and AI-driven conversational technologies"
Italian (Italy) Scripted Monologue Speech Dataset for Delivery & Logistics Domain,FutureBeeAI,"Over 6,000 high-quality scripted prompt recordings",WAV format; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Scripted prompts covering various topics and scenarios relevant to the Delivery & Logistics domain,Scripted monologue speech,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Recordings conducted in quiet environments without background noise or echo,High-quality recording equipment; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Verbatim transcriptions provided in plain text (.TXT) format; files named to match their associated audio files for easy reference,Transcriptions verified for accuracy and consistency by native Italian transcribers,Not specified,Meticulously curated to ensure high-quality data; transcriptions verified for accuracy and consistency,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/monologue-speech-dataset/delivery-scripted-speech-monologues-italian-italy,,"Designed to advance the development of Italian language speech recognition models in the Delivery & Logistics domain; supports applications in speech recognition, natural language processing, and AI-driven conversational technologies"
Italian (Italy) Scripted Monologue Speech Dataset for Healthcare Domain,FutureBeeAI,"Over 6,000 high-quality scripted prompt recordings",WAV format; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Scripted prompts covering various topics and scenarios relevant to the Healthcare domain,Scripted monologue speech,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Recordings conducted in quiet environments without background noise or echo,High-quality recording equipment; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Verbatim transcriptions provided in plain text (.TXT) format; files named to match their associated audio files for easy reference,Transcriptions verified for accuracy and consistency by native Italian transcribers,Not specified,Meticulously curated to ensure high-quality data; transcriptions verified for accuracy and consistency,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/monologue-speech-dataset/healthcare-scripted-speech-monologues-italian-italy,,"Designed to advance the development of Italian language speech recognition models in the Healthcare domain; supports applications in speech recognition, natural language processing, and AI-driven conversational technologies"
Italian (Italy) Scripted Monologue Speech Dataset for Real Estate Domain,FutureBeeAI,"Over 6,000 high-quality scripted prompt recordings",WAV format; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Scripted prompts covering various topics and scenarios relevant to the Real Estate domain,Scripted monologue speech,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Recordings conducted in quiet environments without background noise or echo,High-quality recording equipment; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Verbatim transcriptions provided in plain text (.TXT) format; files named to match their associated audio files for easy reference,Transcriptions verified for accuracy and consistency by native Italian transcribers,Not specified,Meticulously curated to ensure high-quality data; transcriptions verified for accuracy and consistency,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/monologue-speech-dataset/realestate-scripted-speech-monologues-italian-italy,,"Designed to advance the development of Italian language speech recognition models in the Real Estate domain; supports applications in speech recognition, natural language processing, and AI-driven conversational technologies"
Italian (Italy) Scripted Monologue Speech Dataset for Retail & E-commerce Domain,FutureBeeAI,"Over 6,000 high-quality scripted prompt recordings",WAV format; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Scripted prompts covering various topics and scenarios relevant to the Retail & E-commerce domain,Scripted monologue speech,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Recordings conducted in quiet environments without background noise or echo,High-quality recording equipment; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Verbatim transcriptions provided in plain text (.TXT) format; files named to match their associated audio files for easy reference,Transcriptions verified for accuracy and consistency by native Italian transcribers,Not specified,Meticulously curated to ensure high-quality data; transcriptions verified for accuracy and consistency,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/monologue-speech-dataset/retail-scripted-speech-monologues-italian-italy,,"Designed to advance the development of Italian language speech recognition models in the Retail & E-commerce domain; supports applications in speech recognition, natural language processing, and AI-driven conversational technologies"
Italian (Italy) Scripted Monologue Speech Dataset for Telecom Domain,FutureBeeAI,"Over 6,000 high-quality scripted prompt recordings",WAV format; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Scripted prompts covering various topics and scenarios relevant to the Telecom domain,Scripted monologue speech,Includes accents and dialects from different regions of Italy,60 native Italian speakers; age range from 18 to 70 years; gender distribution of 60% male and 40% female,"No, specific to Italian",Recordings conducted in quiet environments without background noise or echo,High-quality recording equipment; mono channels; 16-bit depth; sample rates of 8 kHz and 16 kHz,Native Italian speakers from various regions; diverse demographics to ensure inclusivity,Verbatim transcriptions provided in plain text (.TXT) format; files named to match their associated audio files for easy reference,Transcriptions verified for accuracy and consistency by native Italian transcribers,Not specified,Meticulously curated to ensure high-quality data; transcriptions verified for accuracy and consistency,Available for commercial use for a fee,https://www.futurebeeai.com/dataset/monologue-speech-dataset/telecom-scripted-speech-monologues-italian-italy,,"Designed to advance the development of Italian language speech recognition models in the Telecom domain; supports applications in speech recognition, natural language processing, and AI-driven conversational technologies"
